age,StateName,"(1.0, 1.0)","(1.0, 2.0)","(1.0, 3.0)","(1.0, 4.0)","(1.0, 5.0)","(1.0, 6.0)","(1.0, 7.0)","(1.0, 8.0)","(2.0, 1.0)","(2.0, 2.0)","(2.0, 3.0)","(2.0, 4.0)","(2.0, 5.0)","(2.0, 6.0)","(2.0, 7.0)","(2.0, 8.0)","('TotalPOP', '')","('key', '')"
85,California,167681,272584,12336,23800,1297,1992,51592,85146,48303,84071,739,1303,1125,2087,778,1538,756372,4340
29,California,110540,101453,24725,21558,1731,1616,55483,55439,127324,118340,4023,3963,5600,5028,3649,3660,644132,1484
30,California,112753,104953,24157,21463,1658,1568,56331,57301,124009,114388,3870,3889,5445,4888,3619,3429,643721,1535
28,California,103857,93713,23700,20624,1715,1560,51327,50074,127690,119625,3990,3788,5562,5021,3310,3410,618966,1433
31,California,108498,100633,22502,20350,1567,1454,55521,57812,115108,105793,3585,3504,5215,4542,3293,3283,612660,1586
32,California,106466,98964,20874,18674,1491,1455,53422,55029,113786,103384,3411,3583,5307,4678,3162,3178,596864,1637
85,Florida,190249,258447,14360,27898,514,634,3780,5884,32388,59407,618,1471,132,239,118,170,596309,4345
27,California,98328,88931,22881,19754,1568,1607,48477,47226,125044,117882,3885,3626,5342,5108,3301,3280,596240,1382
26,California,94960,86965,22462,19710,1584,1508,47254,44456,123853,118040,3873,3535,5193,4994,3374,3354,585115,1331
33,California,105571,95869,19963,17838,1433,1390,50779,52446,110472,100457,3304,3454,4936,4393,2979,2998,578282,1688
35,California,104208,96931,18554,17295,1400,1357,49920,54267,109320,99474,3225,3372,4982,4425,2892,2898,574520,1790
34,California,104816,95520,18958,17291,1412,1402,49869,52374,110808,99418,3422,3332,4916,4316,2987,2975,573816,1739
25,California,91387,84023,21452,18943,1512,1534,44410,41849,120879,117455,3714,3554,5034,4820,3436,3259,567261,1280
37,California,101188,93264,17260,15724,1309,1329,48518,53759,105653,98296,3116,3233,4933,4457,2950,2818,557807,1892
36,California,100690,93108,17446,15951,1354,1327,49334,53380,104923,96623,3133,3168,4843,4271,2850,2855,555256,1841
38,California,100204,91880,16992,15850,1385,1311,47672,53798,104769,98919,3029,3259,4728,4287,2847,2850,553780,1943
24,California,86626,79978,19812,17694,1503,1494,41774,39353,119249,115694,3708,3537,4953,4897,3339,3222,546833,1229
40,California,97710,90630,17341,16405,1317,1317,45114,51506,105856,98664,3112,2971,4765,4314,2851,2787,546660,2045
39,California,97479,90798,16516,15535,1256,1317,44853,51104,102863,97948,2967,3120,4700,4143,2770,2776,540145,1994
50,California,104646,100224,16589,16584,1326,1401,42457,49224,91976,89050,1954,2133,3859,3551,2090,2218,529282,2555
23,California,82699,76264,18997,17101,1463,1377,38527,36981,117383,114372,3732,3670,4951,4788,3338,3192,528835,1178
22,California,79254,72332,18340,16635,1417,1475,35498,34101,115920,112746,3663,3659,4802,4678,3296,3282,511098,1127
13,California,70534,66783,15834,15082,1222,1193,34685,32519,124284,119816,4903,4711,5373,5026,4289,3980,510234,668
49,California,98275,94085,15399,15660,1256,1334,41440,48785,88959,89022,1876,2313,3736,3629,2082,2192,510043,2504
20,California,78176,70125,17488,16009,1396,1268,34743,33443,118362,113994,3861,3639,4981,4807,3302,3311,508905,1025
12,California,69434,65858,15830,15295,1261,1201,35148,32908,124324,118848,5025,4837,5307,5077,4252,4165,508770,617
41,California,91333,84624,15699,15242,1230,1218,42447,48817,95713,91643,2681,2824,4284,3970,2576,2569,506870,2096
14,California,71491,67423,15688,14927,1245,1261,34304,32360,122216,117857,4573,4372,5166,4998,4071,3685,505637,719
18,California,75103,71662,16118,15387,1222,1272,35369,34714,116161,113296,3935,3832,4793,4727,3494,3386,504471,923
15,California,71619,68022,15659,14743,1248,1253,34506,33781,120981,116096,4443,4169,4949,4936,3884,3622,503911,770
9,California,69506,66253,16188,15590,1267,1207,35012,32955,123660,118634,3760,3562,4027,4042,3389,3261,502313,464
21,California,77520,70487,17797,15849,1426,1356,33951,32416,115907,112054,3825,3670,4766,4552,3393,3291,502260,1076
16,California,72602,69074,15880,14913,1235,1249,34734,33741,118394,115062,4202,3981,4945,4791,3814,3548,502165,821
19,California,75422,68950,16088,15154,1288,1318,35771,34881,116344,113036,3905,3722,4835,4704,3381,3302,502101,974
17,California,72634,69274,16111,14960,1238,1214,34866,33944,117467,114523,4049,3751,4861,4770,3698,3514,500874,872
56,California,110743,109035,16157,16627,1359,1467,37973,44881,74070,74744,1582,1691,3186,3119,1692,1734,500060,2861
55,California,106833,104693,16346,16992,1329,1457,37921,43887,79093,77349,1594,1799,3316,3063,1771,1826,499269,2810
51,California,98637,95648,15054,15133,1287,1337,39904,46634,85771,83606,1718,2000,3529,3432,1898,2042,497630,2606
45,California,86690,80979,14759,14445,1169,1160,43190,49851,94492,93336,2165,2442,3856,3752,2360,2327,496973,2300
60,California,117730,117272,16132,17217,1471,1620,36695,44246,65034,66783,1318,1559,2763,2769,1418,1535,495562,3065
42,California,87912,82075,14908,14654,1208,1231,41001,47405,94773,91727,2607,2723,4158,3900,2552,2546,495380,2147
57,California,111673,110993,15583,16499,1414,1554,38148,45069,69632,70978,1453,1618,3057,3027,1550,1741,493989,2912
5,California,69661,66044,15285,14310,1301,1266,40441,37248,114237,109997,3885,3600,4127,4109,3717,3461,492689,260
43,California,86417,81001,14618,14336,1174,1227,40933,48422,93892,92069,2470,2753,4140,3743,2553,2564,492312,2198
7,California,68882,65357,15559,15057,1241,1204,38779,36157,115715,111589,3743,3548,4087,4027,3524,3440,491909,362
8,California,68553,65272,15739,14913,1259,1236,35756,33696,118147,114059,3870,3475,4209,4086,3430,3304,491004,413
10,California,67121,63632,15151,14742,1229,1211,33892,32063,119192,115626,4746,4433,5074,4735,4026,3851,490724,515
6,California,69743,65964,15311,14726,1284,1244,38483,35792,115049,110602,3823,3690,4163,4044,3431,3336,490685,311
11,California,66970,63735,15184,14850,1194,1158,33486,31711,118900,114705,4985,4673,5096,4877,4311,4104,489939,566
48,California,89282,84625,14268,14196,1147,1234,42256,49531,88221,88256,1906,2260,3680,3464,2093,2178,488597,2453
59,California,116239,116250,15727,16827,1451,1612,34679,42199,63764,66463,1275,1443,2796,2881,1479,1563,486648,3014
58,California,113204,112960,15408,16588,1393,1533,35918,42329,66786,68561,1348,1500,2871,2985,1448,1583,486415,2963
52,California,95926,92871,14808,14965,1238,1260,38412,45053,83966,81143,1668,1930,3475,3151,1860,1881,483607,2657
44,California,82907,78107,14046,13826,1124,1131,41738,48078,93067,91201,2459,2670,4099,3674,2382,2510,483019,2249
4,California,69035,65597,14766,14058,1256,1249,37570,35137,112155,108015,3809,3713,4343,4217,3746,3595,482261,209
47,California,83990,79162,13885,13604,1101,1159,42288,49692,88580,89720,1950,2275,3703,3493,2019,2224,478845,2402
46,California,83073,77757,13738,13443,1102,1069,42735,49435,90191,90051,1974,2368,3768,3546,2095,2193,478538,2351
3,California,67311,63979,14671,14180,1181,1193,39700,36672,108210,104848,3931,3709,4326,4328,3710,3562,475511,158
54,California,97699,95477,15241,15769,1252,1326,36693,42890,78762,76523,1580,1731,3262,3040,1720,1853,474818,2759
53,California,96500,94059,14855,15062,1196,1285,35901,42173,79837,78306,1579,1830,3273,3134,1788,1837,472615,2708
61,California,113202,113438,14741,16011,1305,1536,34368,41666,58139,61110,1160,1399,2436,2563,1283,1401,465758,3116
85,New York,116896,215445,14677,36336,468,871,11570,17252,12105,24438,2572,5348,586,1162,286,507,460519,4368
62,California,113081,114090,14081,15266,1276,1470,34263,41677,54513,58418,1124,1289,2315,2447,1249,1329,457888,3167
2,California,65943,62341,14300,13661,1221,1220,36890,34207,103484,100496,3787,3622,4322,4255,3682,3446,456877,107
1,California,65128,62026,14504,13865,1121,1082,33858,31768,100355,97067,4265,4106,5853,5645,4174,4050,448867,56
29,Texas,85494,83011,32038,32713,912,890,13049,13916,90627,84836,2332,2332,2012,1885,749,746,447542,1523
63,California,111621,114532,13348,15177,1291,1487,32787,40467,51393,55991,1056,1208,2261,2289,1158,1234,447300,3218
0,California,66011,63022,15103,14445,1060,1057,32395,30708,97664,94041,4828,4562,6485,6190,4739,4554,446864,5
28,Texas,83809,79555,32917,32222,984,865,12591,13336,92811,86958,2217,2267,2023,1947,717,701,445920,1472
30,Texas,85168,83987,31379,32665,889,866,13295,14438,89532,82790,2264,2318,1978,1699,736,730,444734,1574
27,Texas,80479,76023,32814,31231,981,875,12067,12532,92156,85516,2283,1998,1910,1819,682,645,434011,1421
31,Texas,83643,81826,30036,31202,851,794,13774,14905,85827,78467,2154,2170,1975,1652,708,723,430707,1625
64,California,106048,110467,12597,14078,1140,1388,32299,40065,48742,53767,1000,1134,2208,2166,1130,1303,429532,3269
12,Texas,70554,67346,28184,26900,649,631,10969,10580,102064,98283,3444,3238,2183,2054,992,1005,429076,656
13,Texas,70745,67408,28274,27126,644,636,10458,10123,101605,97634,3338,3271,2167,2074,993,997,427493,707
35,Texas,84474,83102,27057,28665,717,744,14344,15308,84584,78601,1981,2079,1948,1589,726,683,426602,1829
26,Texas,78885,74492,31363,30051,947,852,11840,12082,91083,85282,2239,2135,1842,1889,725,688,426395,1370
65,California,105621,111025,12149,13909,1129,1360,32239,40455,47380,52337,883,1095,1970,2098,973,1137,425760,3320
32,Texas,82715,80273,28584,29976,771,832,13847,14824,85756,77347,2203,2133,1931,1598,773,701,424264,1676
34,Texas,83028,81900,27363,28907,706,728,13992,15187,85073,77728,2015,2124,1987,1653,788,677,423856,1778
14,Texas,71064,67099,27726,26714,654,632,10269,10110,100339,96558,3047,3096,2143,2073,949,968,423441,758
